234  1999-09-26 05:45:49.200 23.6815 120.9362 12 3.98
235  1999-09-27 04:03:21.0 24.286 121.2342 26 4.65
236  1999-09-27 04:11:43.500 24.283 121.2003 17 4.68
237  1999-09-27 07:00:40.0 24.1775 121.2417 15 4.6
238  1999-09-27 07:28:17.200 24.1542 121.2378 28 4.8
239  1999-09-27 19:47:30.400 23.8775 120.9583 21 3.68
240  1999-09-28 00:01:58.700 23.5847 120.9868 13 3.84
241  1999-09-28 05:53:46.900 23.9893 120.6558 13 4.74
242  1999-09-28 15:43:35.100 23.1815 120.9112 15 4.71
243  1999-09-28 17:16:28.600 24.1302 121.0525 27 4.07
244  1999-09-28 22:43:41.400 23.6062 120.859 20 3.82
245  1999-09-28 23:01:25.800 23.6653 120.7373 21 4.23
246  1999-09-28 23:13:02.300 23.664 120.7303 26 3.9
247  1999-09-29 00:22:12.500 23.6132 120.857 21 3.97
248  1999-09-29 22:52:28.0 23.856 120.9205 14 3.79
249  1999-09-30 01:03:59.800 24.2608 121.0785 21 4.63
250  1999-09-30 03:11:25.800 24.4438 120.7962 22 4.16
251  1999-09-30 09:28:12.700 23.561 120.8793 17 3.97
252  1999-09-30 09:44:31.200 24.5318 120.9538 23 4.04
253  1999-09-30 09:49:45.800 24.679 121.954 64 4.81
254  1999-09-30 09:52:39.0 23.2908 120.635 12 4.34
255  1999-09-30 10:20:40.300 23.635 120.8617 43 4.18
256  1999-10-01 04:39:02.300 24.0623 121.5303 18 4.2
257  1999-10-01 12:54:10.300 23.694 120.9055 21 4.95
258  1999-10-01 17:53:32.100 23.6892 120.9252 13 4.18
259  1999-10-02 04:54:34.900 23.9668 121.342 42 4.41
260  1999-10-02 14:48:46.600 23.8853 121.0953 22 4.1
261  1999-10-02 17:14:14.900 23.9637 122.5027 30 4.84
262  1999-10-02 22:17:00.800 22.1755 120.9238 24 4.62
263  1999-10-03 05:23:41.800 22.1147 121.296 28 4.07
264  1999-10-03 05:52:22.900 23.571 120.847 14 3.98
265  1999-10-03 23:43:13.0 23.1937 120.8955 17 4.42
266  1999-10-04 12:26:15.400 23.7875 120.9322 18 4.38
267  1999-10-05 12:18:17.400 23.8448 121.0018 15 4.47
268  1999-10-06 03:45:29.0 23.9523 121.026 20 4.21
269  1999-10-08 02:48:37.900 23.5762 120.8392 13 4.06
270  1999-10-09 00:48:40.300 23.9872 121.3333 38 4.27
271  1999-10-09 03:58:11.0 23.6967 120.96 12 4.21
272  1999-10-11 19:10:11.900 23.9858 121.328 11 4.23
273  1999-10-13 01:39:46.900 23.9552 121.3385 15 5.09
274  1999-10-15 18:48:15.500 23.993 121.3387 18 4.29
275  1999-10-16 12:31:58.700 24.0037 121.3178 15 4.59
276  1999-10-18 05:16:27.200 24.0365 122.3085 26 4.53
277  1999-10-18 15:31:26.900 23.9492 121.3272 24 4.81
278  1999-10-18 16:00:45.900 23.7048 121.035 34 5.01
279  1999-10-18 17:55:34.600 23.6332 120.8455 15 4.42
280  1999-10-21 03:34:15.300 23.8433 122.616 32 5.03
281  1999-10-22 02:18:56.900 23.517 120.4225 21 5.85
282  1999-10-22 03:10:17.500 23.533 120.4307 19 5.51
283  1999-10-22 08:34:14.600 23.5298 120.454 21 4.61
284  1999-10-22 17:57:04.100 23.528 120.432 18 4.49
285  1999-10-23 17:08:03.0 23.5048 120.4605 15 4.56
286  1999-10-23 21:10:46.900 23.401 120.6955 23 4.53
287  1999-10-23 21:53:01.300 23.54 120.4328 21 4.05
288  1999-10-23 22:06:49.700 23.3995 120.6942 24 4.26
289  1999-10-23 22:35:43.100 23.3903 120.692 20 4.19
290  1999-10-24 02:39:31.200 23.889 121.1435 25 4.16
291  1999-10-30 07:02:45.300 24.0252 121.3377 22 4.5
292  1999-10-30 07:32:45.600 24.0265 121.3328 15 4.14
293  1999-10-30 08:27:49.500 24.0172 121.3187 17 5.07
294  1999-10-30 13:01:03.500 24.0263 121.3468 22 4.7
295  1999-11-01 07:57:31.500 23.7828 122.394 21 4.48
296  1999-11-01 17:53:02.200 23.3618 121.7258 31 6.13
297  1999-11-03 21:34:10.600 23.3177 120.6148 12 4.28
298  1999-11-04 17:59:24.700 23.2947 120.9985 15 4.07
299  1999-11-06 04:21:14.200 23.2872 120.9795 18 4.36
300  1999-11-12 01:09:49.800 23.5045 120.4578 18 4.4
301  1999-11-13 12:18:05.100 24.0268 120.642 17 4.09
302  1999-11-13 19:47:01.800 23.922 122.4028 25 4.31
303  1999-11-13 19:53:53.600 23.8877 122.5413 29 4.55
304  1999-11-15 18:10:50.0 23.5248 120.4427 15 4.1
305  1999-11-17 07:35:09.900 24.0193 120.6425 14 4.93
306  1999-11-20 03:29:35.600 24.0235 120.6532 17 4.32
307  1999-11-26 10:12:30.900 23.9517 122.823 26 4.92
308  1999-11-28 20:42:21.0 23.3145 120.9243 15 4.49
309  1999-11-28 21:25:50.200 23.3323 120.9307 11 4.6
310  1999-12-08 16:01:25.0 24.5647 121.6852 31 4
311  1999-12-30 12:24:32.900 22.645 121.2937 19 4.5
312  2000-01-05 23:17:06.320 23.7748 120.9725 26 4.25
313  2000-01-12 03:17:17.730 23.3548 120.9228 19 4.2
314  2000-01-12 05:47:54.300 24.3055 121.078 19 4.08
315  2000-01-15 11:05:38.380 23.347 120.9177 12 4.16
316  2000-01-16 20:22:05.330 24.4098 120.959 12 4.1
317  2000-01-20 17:42:09.120 23.6207 121.2583 11 4.57
318  2000-01-23 12:42:28.370 23.3178 120.5502 15 4.03
319  2000-01-30 20:21:55.180 23.9897 121.0662 12 4.13
320  2000-01-31 21:11:52.810 24.3605 120.9302 21 4.11
321  2000-02-03 08:29:30.370 24.3343 121.9193 24 4.16
322  2000-02-03 18:48:07.830 22.7868 121.262 16 4.4
323  2000-02-15 21:33:18.150 23.316 120.7403 19 5.14
324  2000-02-22 15:42:31.760 22.4988 121.1525 38 4.57
325  2000-02-24 00:44:29.710 24.0087 122.3407 26 4.49
326  2000-03-09 05:08:44.500 23.2217 121.4928 25 4.86
327  2000-03-16 00:37:53.460 22.7343 121.6218 24 4.55
328  2000-03-16 13:10:55.200 23.3088 120.751 19 4.85
329  2000-03-18 12:52:14.790 24.1078 121.0332 24 3.91
330  2000-03-19 08:50:46.400 24.7013 122.3108 27 4.49
331  2000-03-19 17:57:07.460 23.3047 120.7403 17 4.26
332  2000-03-24 14:13:16.930 24.3222 122.1843 45 3.99
333  2000-03-27 08:14:11.910 23.3107 120.7318 18 4.15
334  2000-04-02 11:02:50.90 23.8783 121.0565 21 3.9
335  2000-04-08 02:41:43.400 22.712 120.8518 33 4.37
336  2000-04-14 01:36:38.610 24.2195 122.5083 59 4.29
337  2000-04-18 05:29:02.780 23.878 122.624 29 4.22
338  2000-04-19 14:04:18.910 24.2753 121.0318 23 4.5
339  2000-04-25 20:23:34.820 23.4107 120.94 11 4.25
340  2000-04-29 07:46:55.390 24.2488 121.2195 18 3.88
341  2000-05-06 13:41:52.840 24.0235 121.5603 28 4.59
342  2000-05-07 16:18:08.930 22.5227 120.3583 36 4.41
343  2000-05-07 23:47:45.950 23.9872 120.6645 11 4.12
344  2000-05-17 03:25:46.620 24.193 121.0975 13 5.61
345  2000-05-17 18:12:46.980 22.842 121.3078 21 4.21
346  2000-05-18 15:18:56.650 24.198 121.0377 16 5.16
347  2000-06-01 23:46:33.410 22.4412 121.074 18 4.06
348  2000-06-06 01:49:39.30 24.487 121.8635 31 4.29
349  2000-06-10 18:23:29.450 23.901 121.1092 27 6.07
350  2000-06-11 20:11:20.370 23.858 121.098 26 4.15
351  2000-06-16 00:46:06.310 24.847 122.1333 17 4.39
352  2000-06-18 22:44:50.800 23.9667 121.1152 22 4.45
353  2000-06-19 07:32:51.760 23.9582 121.1193 22 4.32
354  2000-06-19 21:56:24.760 23.9203 121.0922 26 4.91
355  2000-06-28 11:35:01.710 24.6182 122.4085 82 4.52
356  2000-07-06 03:12:18.870 23.322 120.5667 17 4.07
357  2000-07-06 08:58:03.420 23.3142 120.9238 14 4.13
358  2000-07-07 10:17:48.540 24.0445 121.7257 12 4.22
359  2000-07-10 06:23:13.170 24.4682 121.855 22 3.99
360  2000-07-10 08:32:57.700 23.7385 121.7478 48 4.18
361  2000-07-13 02:08:31.340 23.7302 121.3 12 4.1
362  2000-07-13 17:36:05.480 23.9717 121.7408 12 4.18
363  2000-07-13 22:01:10.320 23.9397 121.8268 15 4.82
364  2000-07-14 00:07:32.460 24.0483 121.7283 14 5.41
365  2000-07-14 07:18:20.540 23.9783 121.7592 12 4.16
366  2000-07-14 09:40:50.420 23.9525 121.7593 12 4.53
367  2000-07-14 23:04:34.640 23.947 121.8032 15 4.82
368  2000-07-17 06:50:39.380 24.0665 121.7898 15 4.58
369  2000-07-19 04:46:33.420 24.1188 121.7602 15 4.68
370  2000-07-24 22:10:36.370 24.7112 122.479 110 4.9
371  2000-07-28 20:28:07.720 23.411 120.9327 12 5.65
372  2000-08-02 08:34:31.990 23.8495 121.0182 18 4.42
373  2000-08-05 02:32:27.500 24.1752 122.5103 39 4.28
374  2000-08-06 09:51:40.840 24.2672 121.1055 20 4.71
375  2000-08-07 03:11:07.970 23.339 120.945 11 4.21
376  2000-08-12 12:22:29.630 23.3508 120.9398 12 4.16
377  2000-08-20 06:59:37.940 23.0557 120.8642 13 4.3
378  2000-08-20 10:48:13.190 23.0822 120.8518 12 4.76
379  2000-08-20 10:51:12.300 23.097 120.8418 13 4.54
380  2000-08-21 16:42:23.240 22.9468 120.9583 12 4.26
381  2000-08-23 00:49:16.580 23.636 121.6347 36 5.11
382  2000-08-23 08:13:57.470 23.6862 121.5567 30 3.94
383  2000-09-01 09:24:38.410 24.08 121.138 15 4.77
384  2000-09-10 08:54:46.500 24.0853 121.5838 26 5.7
385  2000-09-11 10:49:30.500 24.1518 121.6697 27 4.25
386  2000-09-12 05:09:14.200 24.389 122.0533 22 4.02
387  2000-09-15 00:07:26.0 24.3595 121.0023 20 4.2
388  2000-09-16 22:53:50.100 23.0747 120.8603 12 4.07
389  2000-09-16 23:04:12.0 23.917 122.4955 26 4.99
390  2000-09-20 13:24:19.200 24.728 121.7138 86 4.04
391  2000-09-21 06:04:06.100 22.0707 121.4758 45 4.56
392  2000-09-26 17:16:39.400 23.3595 120.0212 13 4.16
393  2000-09-29 23:41:23.0 23.0642 120.8508 34 4.2
394  2000-10-04 20:29:22.500 24.1225 121.5647 27 4.16
395  2000-10-06 19:09:15.100 23.63 120.8547 15 3.97
396  2000-10-24 07:11:57.700 23.9033 121.5298 28 4.47
397  2000-10-30 19:54:05.600 24.2448 121.0485 14 3.86
398  2000-11-20 00:07:09.400 24.7938 121.9095 17 4.35
399  2000-11-23 11:22:12.400 23.9413 122.4883 30 4.03
400  2000-11-29 11:00:33.0 23.8573 121.7682 24 4.83
401  2000-11-29 13:41:40.700 23.856 121.7707 26 4.15
402  2000-12-10 10:08:38.600 23.1055 120.2082 18 4.36
403  2000-12-10 19:30:44.500 23.116 120.2263 26 4.95
404  2000-12-12 20:32:52.700 23.9677 122.6762 27 5.19
405  2000-12-22 11:23:00.400 24.0777 121.1452 12 4.2
406  2000-12-28 09:01:26.300 23.4422 122.0443 31 4.72
407  2000-12-29 18:03:28.600 24.3607 121.884 22 4.76
408  2000-12-30 19:42:52.600 24.1948 122.9005 45 4.57
409  2001-01-02 22:54:58.130 24.3538 121.7737 30 4.25
410  2001-01-05 15:22:01.290 22.8112 121.313 16 3.81
411  2001-01-09 19:16:27.470 23.9577 121.779 62 4.62
412  2001-01-11 08:36:59.230 24.0813 120.9872 25 4.56
413  2001-01-11 09:09:10.470 24.0862 120.9782 34 4.34
414  2001-01-14 17:18:23.590 24.3147 122.0673 30 3.71
415  2001-01-16 01:43:06.670 24.252 121.191 14 4.3
416  2001-01-17 19:52:17.230 24.1887 121.6918 11 4.08
417  2001-01-22 23:27:18.270 24.3187 122.1337 24 4.42
418  2001-01-24 22:10:09.140 23.5765 121.6477 26 3.63
419  2001-02-04 23:54:15.10 24.2473 121.7067 25 3.89
420  2001-02-05 08:37:33.390 24.2523 121.7192 29 4.08
421  2001-02-05 15:13:59.700 22.156 121.4078 76 4.14
422  2001-02-08 17:34:09.320 23.4165 120.633 19 4.17
423  2001-02-11 12:43:25.780 23.9238 120.7525 16 3.72
424  2001-02-14 13:17:50.130 23.5822 120.7148 16 3.78
425  2001-02-14 22:25:42.680 23.5835 120.7217 20 3.83
426  2001-02-16 23:13:09.80 24.4642 122.7603 97 5.15
427  2001-02-18 20:25:10.880 23.5853 120.7185 15 4.37
428  2001-02-20 01:41:22.80 23.586 120.7292 25 3.72
429  2001-02-23 19:18:26.460 23.5642 121.6358 37 4.07
